ts,pair,signal,confidence,price,tp,sl,dry_run
2025-08-09T16:18:53.453362+00:00,BTC/USDT,SHORT,0.75,116767.3,116254.878571,117108.914286,True
2025-08-09T16:19:07.017343+00:00,ETH/USDT,SHORT,0.75,4218.21,4150.311429,4263.475714,True
2025-08-09T16:19:20.597915+00:00,SOL/USDT,SHORT,0.75,180.58,177.94,182.34,True
2025-08-09T16:19:43.025231+00:00,AVAX/USDT,SHORT,0.75,24.317,23.908464,24.589357,True
2025-08-09T16:19:55.890573+00:00,BNB/USDT,SHORT,0.75,807.8,799.914286,813.057143,True
2025-08-09T16:23:14.470945+00:00,SOL/USDT,SHORT,0.75,180.57,177.926786,182.332143,False
2025-08-09T16:23:34.314670+00:00,AVAX/USDT,SHORT,0.75,24.323,23.910714,24.597857,False
1755383330.1044183,order_error,ETH/USDT:USDT,sell,0.01,4418.89,4440.98,4374.7,,,LIVE,"bybit {""retCode"":10001,""retMsg"":""can not set tp/sl/ts for zero position"",""result"":{},""retExtInfo"":{},""time"":1755383329743}"
1755383400.2404778,order_error,SOL/USDT:USDT,buy,0.3,188.53,187.59,190.42,,,LIVE,"bybit {""retCode"":10001,""retMsg"":""can not set tp/sl/ts for zero position"",""result"":{},""retExtInfo"":{},""time"":1755383399875}"
1755383467.560446,order_error,AVAX/USDT:USDT,sell,3.0,24.246,24.367,24.004,,,LIVE,"bybit {""retCode"":10001,""retMsg"":""can not set tp/sl/ts for zero position"",""result"":{},""retExtInfo"":{},""time"":1755383467182}"
1755440057.6564162,order_placed,AVAX/USDT:USDT,buy,2.9,24.849,24.725,25.097,d25cf74d-4024-4563-a0b5-7cc6c8a01186,,LIVE,
1755440065.6653993,order_filled,AVAX/USDT:USDT,buy,2.9,24.849,24.725,25.097,d25cf74d-4024-4563-a0b5-7cc6c8a01186,,LIVE,
1755440173.7881267,order_placed,BNB/USDT:USDT,buy,0.07,858.1,853.8,866.7,8e159221-7951-4618-b27b-2229aaff5b78,,LIVE,
1755440181.7987194,order_filled,BNB/USDT:USDT,buy,0.07,858.1,853.8,866.7,8e159221-7951-4618-b27b-2229aaff5b78,,LIVE,
1755440507.4922693,order_placed,SOL/USDT:USDT,buy,0.2,192.42,191.46,194.34,c35b198c-2ef2-4bce-87ca-86eb36ca5d75,,LIVE,
1755440515.5036356,order_filled,SOL/USDT:USDT,buy,0.2,192.42,191.46,194.34,c35b198c-2ef2-4bce-87ca-86eb36ca5d75,,LIVE,
1755441179.5756886,order_placed,ETH/USDT:USDT,buy,0.01,4545.67,4522.94,4591.13,1549e926-78f3-4dd1-a21e-49945cc9a33f,,LIVE,
